incident_id,year,quarter,country,incident_category,severity,sector_affected,estimated_victims,financial_damage_usd,genai_tool_involved,perpetrator_type,legal_action_taken,media_coverage_score,cross_border,detection_method,resolution_status
INC-00001,2024,Q4,Iran,Non-Consensual Intimate Imagery,Medium,Finance,2901,236370.71,Multiple,Corporation,0,3.4,0,Journalist Investigation,Under Investigation
INC-00002,2024,Q4,Israel,Non-Consensual Intimate Imagery,Low,Legal,5716,43990.11,Video Synthesizer,Corporation,0,9.2,0,Forensic Analysis,Unresolved
INC-00003,2024,Q3,Turkey,Manipulated Audio Evidence,Medium,Media,3880,,Multiple,Unknown,1,4.9,1,Whistleblower,Closed-No Action
INC-00004,2025,Q3,Saudi Arabia,Academic Dishonesty,High,Legal,120648,2238561.64,Unknown,Unknown,0,6.5,0,Human Review,Unresolved
INC-00005,2022,Q2,North Korea,AI Bias in Hiring,Low,Politics,2260,,Code Generator,Corporation,1,2.4,0,Journalist Investigation,Legal Proceedings
INC-00006,2023,Q4,Italy,Medical AI Misdiagnosis,Medium,Public Safety,7002,413575.61,Image Generator,State Actor,0,8.8,1,Journalist Investigation,Resolved
INC-00007,2025,Q4,Russia,Chatbot Harmful Advice,High,Employment,91717,4562688.1,Unknown,Individual,0,5.0,0,Forensic Analysis,Under Investigation
INC-00008,2024,Q1,Brazil,Voice Cloning Scam,Medium,Employment,13221,361119.66,Unknown,Individual,0,1.4,0,Platform AI,Closed-No Action
INC-00009,2024,Q2,Indonesia,Deepfake Political Disinformation,Low,Education,4268,31337.3,Voice Cloner,State Actor,1,0.4,0,Journalist Investigation,Legal Proceedings
INC-00010,2023,Q3,United States,AI Plagiarism,Medium,Politics,7510,566736.83,Video Synthesizer,Corporation,0,1.5,0,Forensic Analysis,Unresolved
INC-00011,2023,Q4,Russia,Deepfake Political Disinformation,High,Employment,62181,,LLM Chatbot,Individual,0,5.9,1,Victim Report,Legal Proceedings
INC-00012,2024,Q3,France,Synthetic Media Electoral Interference,Medium,Healthcare,3368,,Multiple,Individual,0,9.6,0,Automated Flag,Perpetrator Identified
INC-00013,2022,Q2,Turkey,Academic Dishonesty,Low,Public Safety,6232,42053.06,Code Generator,State Actor,0,2.3,0,Human Review,Under Investigation
INC-00014,2024,Q1,Chile,Manipulated Audio Evidence,Medium,Media,9751,102369.79,Video Synthesizer,State Actor,0,9.3,1,Journalist Investigation,Legal Proceedings
INC-00015,2023,Q4,Sweden,AI-Generated Fraud,Low,Personal,1394,,Video Synthesizer,Unknown,1,3.3,0,Forensic Analysis,Perpetrator Identified
INC-00016,2025,Q2,Australia,Deepfake Political Disinformation,Medium,Personal,12390,156586.27,Code Generator,Individual,0,7.0,0,Forensic Analysis,Perpetrator Identified
INC-00017,2025,Q4,Saudi Arabia,Chatbot Harmful Advice,Low,Healthcare,1763,,Unknown,Unknown,0,3.9,1,Automated Flag,Legal Proceedings
INC-00018,2024,Q4,Australia,Voice Cloning Scam,Medium,Politics,42306,,Multiple,Unknown,1,0.2,0,Whistleblower,Perpetrator Identified
INC-00019,2024,Q4,Turkey,AI Identity Theft,High,Healthcare,100184,1992166.27,LLM Chatbot,Unknown,1,6.2,0,Human Review,Under Investigation
INC-00020,2024,Q1,South Korea,Academic Dishonesty,Medium,Finance,3607,1062437.78,Video Synthesizer,Organized Group,0,0.8,0,Platform AI,Under Investigation
