country,year,quarter,event_date,event_type,status,policy_impact_score,cross_border_implications,international_treaty_linked,civil_society_opposition_score,industry_lobbying_score,source_type
Italy,2024,Q4,2024-12-28,AI Procurement Standards,In Committee,3.6,0,0,6.1,9.3,NGO Report
Australia,2022,Q3,2022-08-08,GenAI Export Control,Withdrawn,4.4,0,1,3.0,7.0,Parliamentary Record
Germany,2023,Q4,2023-10-18,AI Audit Requirement,In Committee,6.9,0,0,0.7,2.5,Press Release
Canada,2022,Q4,2022-11-17,AI Copyright Amendment,Passed,9.7,1,0,6.9,5.7,Parliamentary Record
South Korea,2025,Q2,2025-05-26,GenAI Moratorium Proposed,Passed,7.1,0,0,4.1,0.4,Press Release
Israel,2023,Q3,2023-07-22,Generative AI Procurement Guidelines,Passed,3.0,1,0,6.2,3.9,NGO Report
India,2023,Q2,2023-06-08,National AI Strategy Published,Proposed,9.9,0,0,5.5,4.0,Press Release
Nigeria,2024,Q2,2024-04-02,AI Copyright Amendment,Enacted,9.0,1,0,5.0,8.4,Press Release
Canada,2023,Q2,2023-04-05,AI in Healthcare Regulation,Proposed,4.4,0,0,5.7,1.3,Parliamentary Record
New Zealand,2023,Q3,2023-08-08,GenAI Moratorium Proposed,Proposed,3.5,0,0,7.7,2.6,Official Gazette
United States,2024,Q3,2024-09-28,AI Ethics Board Formed,Under Review,6.6,0,0,6.7,4.5,Parliamentary Record
Mexico,2024,Q2,2024-05-15,GenAI Moratorium Proposed,Proposed,6.0,0,1,0.2,4.5,Parliamentary Record
Indonesia,2022,Q1,2022-03-23,Deepfake Law Passed,Enacted,8.9,0,0,8.7,8.3,News Wire
Nigeria,2025,Q4,2025-10-08,AI Audit Requirement,Enacted,7.7,0,0,8.0,2.6,Parliamentary Record
Poland,2025,Q1,2025-02-15,AI Copyright Amendment,Proposed,8.3,0,1,7.3,1.1,News Wire
India,2025,Q2,2025-05-22,AI Procurement Standards,Proposed,7.3,0,1,1.7,8.5,News Wire
Netherlands,2023,Q2,2023-04-10,AI Regulatory Framework Enacted,Passed,7.3,0,0,1.1,8.4,Parliamentary Record
China,2022,Q1,2022-01-11,Deepfake Law Passed,Passed,8.6,1,0,3.4,6.7,NGO Report
UAE,2024,Q3,2024-08-15,AI Regulatory Framework Enacted,In Committee,8.3,1,0,1.5,7.2,Press Release
Israel,2024,Q4,2024-11-18,Public AI Consultation Launched,Enacted,7.9,0,0,7.2,3.7,Parliamentary Record
Germany,2024,Q1,2024-01-07,AI Transparency Act,Proposed,6.9,0,0,9.7,1.7,Parliamentary Record
Brazil,2022,Q3,2022-08-11,National AI Strategy Published,Enacted,6.3,0,0,5.3,6.2,NGO Report
Japan,2024,Q1,2024-02-12,AI Regulatory Framework Enacted,Passed,9.3,1,1,9.9,0.1,Official Gazette
New Zealand,2025,Q3,2025-09-08,AI Audit Requirement,In Committee,7.5,0,0,9.3,5.6,NGO Report
Taiwan,2023,Q4,2023-12-04,AI Workforce Reskilling Program,In Committee,9.7,0,0,4.7,9.8,Press Release
Sweden,2025,Q2,2025-04-22,AI Safety Agency Established,Passed,9.4,0,1,9.3,0.3,News Wire
Chile,2024,Q2,2024-05-24,AI Workforce Reskilling Program,In Committee,6.3,1,0,6.9,8.6,NGO Report
Israel,2023,Q1,2023-01-06,AI in Education Policy,In Committee,9.1,0,0,2.5,0.3,NGO Report
UAE,2024,Q3,2024-08-10,AI Procurement Standards,Rejected,7.8,0,0,5.7,6.1,Parliamentary Record
South Africa,2023,Q3,2023-07-03,AI Copyright Amendment,Withdrawn,3.6,1,0,6.4,2.1,Official Gazette
Italy,2025,Q4,2025-10-16,AI Copyright Amendment,Proposed,2.7,0,0,6.8,9.4,NGO Report
Chile,2025,Q1,2025-03-06,AI Content Labelling Law,Proposed,5.4,0,0,5.9,3.2,Press Release
Israel,2025,Q2,2025-04-07,AI Audit Requirement,Passed,3.8,1,0,9.8,0.4,Parliamentary Record
South Korea,2023,Q1,2023-02-08,AI Procurement Standards,Passed,9.0,0,0,1.2,1.8,NGO Report
Israel,2024,Q1,2024-02-28,AI Safety Agency Established,Enacted,9.8,1,0,3.7,7.3,NGO Report
UAE,2023,Q2,2023-04-15,AI Transparency Act,Enacted,8.8,1,0,8.8,9.2,News Wire
China,2023,Q3,2023-09-23,AI in Healthcare Regulation,In Committee,2.6,0,0,3.0,8.7,Official Gazette
France,2022,Q3,2022-07-28,GenAI Export Control,Passed,8.3,0,0,3.8,3.2,Press Release
South Korea,2025,Q3,2025-07-21,National AI Strategy Published,Passed,9.7,1,0,3.6,0.1,Parliamentary Record
United States,2022,Q2,2022-04-22,Public AI Consultation Launched,In Committee,8.1,1,0,8.7,1.2,NGO Report
United Kingdom,2024,Q2,2024-05-14,Generative AI Procurement Guidelines,Passed,4.0,1,0,7.9,8.4,Press Release
Australia,2022,Q4,2022-12-01,AI Regulatory Framework Enacted,Enacted,8.9,1,0,0.9,0.0,Parliamentary Record
Indonesia,2025,Q4,2025-12-27,AI Liability Bill Introduced,Proposed,5.1,1,0,9.9,0.8,News Wire
Ireland,2022,Q4,2022-11-10,AI Procurement Standards,Withdrawn,2.2,0,0,4.3,6.5,News Wire
India,2024,Q1,2024-02-25,GenAI Export Control,Rejected,1.2,0,0,9.1,6.2,Official Gazette
Turkey,2022,Q3,2022-07-28,Border AI Inspection Policy,In Committee,3.6,1,1,1.5,7.6,Official Gazette
UAE,2024,Q2,2024-04-07,AI Audit Requirement,In Committee,2.1,0,0,1.0,1.9,Press Release
United Kingdom,2024,Q2,2024-06-05,AI in Healthcare Regulation,Passed,5.7,0,0,2.1,0.9,NGO Report
UAE,2023,Q4,2023-12-06,Border AI Inspection Policy,Passed,5.8,0,0,4.5,7.7,Official Gazette
United Kingdom,2025,Q2,2025-05-24,AI Safety Agency Established,Proposed,8.5,1,1,4.6,5.7,Press Release
Italy,2022,Q3,2022-08-09,Generative AI Procurement Guidelines,Enacted,2.9,1,0,7.3,8.6,News Wire
UAE,2023,Q3,2023-08-08,AI Transparency Act,Withdrawn,6.9,0,1,7.7,2.2,Official Gazette
France,2024,Q1,2024-02-25,National AI Strategy Published,In Committee,7.2,1,0,8.9,0.2,News Wire
Indonesia,2024,Q3,2024-09-24,Generative AI Procurement Guidelines,Proposed,6.1,0,0,8.4,3.7,Press Release
South Africa,2025,Q2,2025-05-15,GenAI Export Control,Passed,5.9,0,1,8.2,9.7,News Wire
Spain,2025,Q3,2025-07-15,Border AI Inspection Policy,Passed,9.8,0,0,9.6,3.0,Press Release
Italy,2024,Q4,2024-11-28,Public AI Consultation Launched,Proposed,1.7,1,0,9.6,9.5,Parliamentary Record
Poland,2023,Q3,2023-08-19,AI Ethics Board Formed,Withdrawn,2.5,1,0,2.0,4.1,Parliamentary Record
Chile,2022,Q4,2022-10-12,AI Liability Bill Introduced,Passed,4.8,0,0,7.2,3.3,Press Release
Spain,2024,Q2,2024-06-01,AI Copyright Amendment,Proposed,7.2,0,0,5.6,4.9,Parliamentary Record
India,2025,Q3,2025-07-27,GenAI Moratorium Proposed,Proposed,8.4,1,0,6.4,7.2,Parliamentary Record
Mexico,2025,Q2,2025-06-26,AI in Healthcare Regulation,In Committee,1.7,0,0,3.5,7.2,News Wire
China,2023,Q2,2023-06-17,National AI Strategy Published,Proposed,2.3,0,0,9.2,5.7,NGO Report
China,2023,Q2,2023-05-09,Deepfake Law Passed,Enacted,6.4,1,0,1.8,5.6,News Wire
France,2024,Q4,2024-10-20,AI Copyright Amendment,Rejected,1.4,1,0,5.4,3.8,News Wire
Italy,2025,Q1,2025-03-28,AI Ethics Board Formed,Passed,4.2,0,0,0.8,8.0,News Wire
Japan,2025,Q3,2025-08-27,AI Content Labelling Law,Passed,9.6,1,0,3.7,6.4,Press Release
China,2025,Q2,2025-06-11,GenAI Moratorium Proposed,Passed,9.5,1,0,2.8,6.5,Press Release
Indonesia,2022,Q3,2022-07-25,Algorithmic Accountability Act,Proposed,1.3,0,0,9.0,2.8,Parliamentary Record
Poland,2022,Q4,2022-12-05,AI in Healthcare Regulation,Rejected,5.2,1,1,9.8,6.5,Official Gazette
New Zealand,2022,Q3,2022-09-19,AI Workforce Reskilling Program,Passed,9.9,0,0,5.7,7.0,Official Gazette
Spain,2024,Q4,2024-10-18,AI Copyright Amendment,Enacted,9.1,0,0,0.5,9.5,Parliamentary Record
India,2023,Q2,2023-05-17,Border AI Inspection Policy,In Committee,9.2,1,0,2.8,1.0,NGO Report
Nigeria,2024,Q4,2024-11-01,AI Transparency Act,Enacted,1.8,0,0,9.3,1.4,Parliamentary Record
Italy,2025,Q4,2025-11-17,AI Transparency Act,In Committee,1.4,1,0,8.4,7.8,NGO Report
Canada,2023,Q1,2023-03-13,AI Regulatory Framework Enacted,Proposed,6.0,0,0,7.4,6.3,Press Release
Canada,2022,Q4,2022-12-22,AI Transparency Act,Proposed,9.1,1,0,3.2,7.8,News Wire
Indonesia,2023,Q2,2023-05-09,Border AI Inspection Policy,Enacted,7.6,0,1,8.0,8.1,News Wire
Taiwan,2022,Q2,2022-04-25,AI in Healthcare Regulation,In Committee,2.2,0,0,8.8,5.1,Parliamentary Record
Italy,2025,Q3,2025-08-27,AI Regulatory Framework Enacted,Proposed,7.5,1,0,1.1,0.6,Parliamentary Record
South Africa,2024,Q1,2024-01-10,Border AI Inspection Policy,Enacted,5.9,1,0,1.7,1.4,NGO Report
Australia,2024,Q1,2024-02-16,AI Transparency Act,Enacted,5.9,1,0,7.5,0.4,NGO Report
Canada,2024,Q2,2024-05-05,Deepfake Law Passed,Proposed,4.5,1,0,8.6,6.5,Parliamentary Record
Ireland,2025,Q3,2025-07-28,AI in Healthcare Regulation,Proposed,4.8,0,0,1.9,1.5,Official Gazette
Germany,2024,Q3,2024-09-05,GenAI Export Control,Enacted,6.0,0,0,4.6,8.2,NGO Report
South Africa,2023,Q3,2023-07-05,AI Safety Agency Established,Passed,5.0,1,0,2.5,4.6,Parliamentary Record
Netherlands,2023,Q3,2023-07-19,AI Content Labelling Law,Proposed,4.6,0,0,9.6,4.2,Parliamentary Record
France,2023,Q3,2023-08-22,Generative AI Procurement Guidelines,Proposed,2.5,0,0,1.0,2.2,News Wire
Indonesia,2024,Q4,2024-12-16,Generative AI Procurement Guidelines,Enacted,8.7,1,0,4.8,6.1,Parliamentary Record
UAE,2025,Q1,2025-03-27,AI Audit Requirement,Enacted,1.9,0,0,9.0,5.3,Press Release
South Africa,2025,Q3,2025-09-02,AI Liability Bill Introduced,In Committee,4.7,0,0,8.6,6.2,News Wire
South Korea,2024,Q1,2024-02-16,GenAI Moratorium Proposed,Enacted,4.0,1,1,2.0,0.3,Official Gazette
Sweden,2024,Q4,2024-12-21,Algorithmic Accountability Act,In Committee,5.6,0,0,0.6,2.8,Press Release
Sweden,2022,Q1,2022-01-14,GenAI Export Control,Under Review,3.7,0,0,8.0,8.7,NGO Report
Turkey,2024,Q4,2024-10-16,GenAI Moratorium Proposed,Enacted,5.3,0,0,1.6,7.0,Press Release
Germany,2024,Q3,2024-07-12,GenAI Moratorium Proposed,Rejected,2.2,0,0,3.4,1.0,NGO Report
Nigeria,2023,Q1,2023-01-22,Algorithmic Accountability Act,In Committee,2.4,0,0,4.8,9.6,Press Release
Chile,2022,Q2,2022-05-02,AI Content Labelling Law,Enacted,7.8,1,0,1.8,0.4,Official Gazette
China,2025,Q3,2025-08-13,Public AI Consultation Launched,Enacted,2.2,0,1,2.5,5.3,News Wire
Germany,2023,Q1,2023-02-13,AI Liability Bill Introduced,Proposed,5.5,1,0,5.4,0.2,Press Release
Ireland,2022,Q3,2022-07-19,AI Transparency Act,Enacted,4.2,0,0,2.0,5.7,News Wire
Sweden,2023,Q1,2023-02-02,GenAI Moratorium Proposed,Under Review,1.2,1,0,1.0,5.4,NGO Report
New Zealand,2023,Q2,2023-06-17,AI Content Labelling Law,Enacted,2.3,0,0,6.5,7.2,Parliamentary Record
New Zealand,2025,Q1,2025-02-13,AI Copyright Amendment,Enacted,8.6,0,0,4.8,6.5,NGO Report
Turkey,2022,Q2,2022-05-03,AI Content Labelling Law,Passed,1.3,0,0,7.9,5.0,News Wire
United States,2022,Q4,2022-10-10,AI Ethics Board Formed,In Committee,7.3,1,0,5.8,6.5,News Wire
Japan,2022,Q4,2022-11-03,National AI Strategy Published,Rejected,9.9,0,0,3.4,5.0,NGO Report
Canada,2022,Q3,2022-09-14,Algorithmic Accountability Act,Proposed,2.2,0,0,1.6,7.6,NGO Report
Sweden,2023,Q1,2023-01-13,AI in Healthcare Regulation,Withdrawn,9.1,0,0,0.9,8.6,NGO Report
South Korea,2022,Q2,2022-04-07,Generative AI Procurement Guidelines,Proposed,6.4,1,0,8.0,6.7,News Wire
Netherlands,2024,Q4,2024-10-24,Generative AI Procurement Guidelines,In Committee,2.6,1,0,8.5,0.5,Parliamentary Record
Ireland,2025,Q1,2025-01-07,AI Copyright Amendment,Enacted,7.6,1,0,1.7,0.2,Parliamentary Record
Indonesia,2025,Q2,2025-06-13,Deepfake Law Passed,Withdrawn,6.0,1,0,3.4,6.9,Press Release
Canada,2023,Q3,2023-07-03,AI Content Labelling Law,In Committee,3.9,1,0,2.5,9.7,Parliamentary Record
Nigeria,2024,Q3,2024-09-13,AI Content Labelling Law,Proposed,9.0,0,0,1.1,7.6,NGO Report
Brazil,2024,Q3,2024-07-25,Public AI Consultation Launched,Under Review,9.3,0,1,0.4,2.7,Official Gazette
Germany,2023,Q1,2023-03-18,AI Ethics Board Formed,Withdrawn,5.3,0,0,2.0,5.4,NGO Report
Poland,2024,Q4,2024-11-19,AI Regulatory Framework Enacted,Enacted,1.9,0,0,5.7,9.6,Official Gazette
Brazil,2022,Q4,2022-11-27,AI Safety Agency Established,Passed,9.1,0,1,4.5,1.9,Parliamentary Record
South Korea,2023,Q4,2023-12-02,Public AI Consultation Launched,Enacted,7.1,0,0,2.4,3.6,Parliamentary Record
Brazil,2022,Q2,2022-05-03,National AI Strategy Published,Passed,5.1,0,0,5.1,0.2,NGO Report
Brazil,2025,Q1,2025-02-04,AI Liability Bill Introduced,In Committee,9.4,1,0,5.9,2.6,NGO Report
Indonesia,2022,Q3,2022-08-14,AI Audit Requirement,Proposed,9.3,0,1,0.9,7.6,Official Gazette
Taiwan,2025,Q3,2025-07-13,AI Ethics Board Formed,Passed,1.0,0,0,0.2,2.2,Official Gazette
Nigeria,2022,Q2,2022-04-04,AI Copyright Amendment,Passed,3.5,1,0,6.3,1.1,Press Release
India,2023,Q4,2023-10-27,National AI Strategy Published,Enacted,1.8,0,0,3.8,8.8,Official Gazette
France,2025,Q4,2025-12-10,National AI Strategy Published,Enacted,2.9,0,0,0.6,5.4,NGO Report
Chile,2024,Q2,2024-06-24,AI Copyright Amendment,Passed,9.6,1,0,1.0,1.7,NGO Report
Germany,2023,Q2,2023-05-15,Border AI Inspection Policy,Passed,3.3,0,0,5.3,0.0,Press Release
United States,2024,Q2,2024-06-27,AI Workforce Reskilling Program,Withdrawn,4.7,1,0,8.9,6.0,Parliamentary Record
United States,2022,Q4,2022-10-15,AI Transparency Act,Rejected,1.6,0,0,5.5,2.3,Press Release
Brazil,2022,Q3,2022-09-19,AI Safety Agency Established,In Committee,1.9,0,0,8.4,7.1,NGO Report
Netherlands,2024,Q3,2024-07-12,AI in Education Policy,Rejected,2.7,0,0,1.8,5.7,Official Gazette
United States,2025,Q4,2025-12-25,AI Workforce Reskilling Program,Proposed,4.1,0,0,7.3,7.2,News Wire
France,2025,Q1,2025-03-23,AI Audit Requirement,Under Review,7.7,1,0,1.0,7.3,Parliamentary Record
United Kingdom,2023,Q2,2023-06-02,AI in Healthcare Regulation,Enacted,7.3,0,0,5.8,1.3,Parliamentary Record
India,2025,Q4,2025-10-05,Border AI Inspection Policy,Under Review,7.2,0,0,1.8,7.0,NGO Report
Italy,2025,Q4,2025-10-08,AI Regulatory Framework Enacted,In Committee,1.3,0,0,1.5,9.2,Press Release
Israel,2023,Q4,2023-10-15,AI Workforce Reskilling Program,Enacted,8.0,1,0,4.4,0.5,News Wire
Netherlands,2024,Q2,2024-05-14,AI Liability Bill Introduced,Passed,3.4,1,0,6.9,1.7,NGO Report
Chile,2024,Q1,2024-03-19,AI in Education Policy,Proposed,4.8,0,1,6.8,7.4,News Wire
South Africa,2023,Q3,2023-07-06,Deepfake Law Passed,Enacted,9.5,0,0,10.0,8.0,News Wire
United Kingdom,2022,Q3,2022-08-18,Algorithmic Accountability Act,Passed,1.7,0,1,7.4,9.1,Parliamentary Record
Poland,2024,Q1,2024-01-10,AI Safety Agency Established,Rejected,1.6,1,0,9.6,4.3,Parliamentary Record
India,2022,Q4,2022-12-24,AI in Education Policy,Passed,8.1,0,1,7.2,5.8,Press Release
Sweden,2023,Q3,2023-07-18,National AI Strategy Published,Enacted,2.0,0,0,8.6,5.0,Official Gazette
Poland,2024,Q4,2024-10-25,AI Procurement Standards,Under Review,1.1,0,0,3.4,1.8,Parliamentary Record
Kenya,2023,Q1,2023-03-25,Deepfake Law Passed,Under Review,5.9,0,0,2.9,5.4,News Wire
Kenya,2022,Q3,2022-08-10,Algorithmic Accountability Act,Under Review,5.1,0,0,7.4,3.2,News Wire
Indonesia,2023,Q4,2023-11-05,AI Copyright Amendment,Passed,6.8,0,1,7.7,0.6,News Wire
UAE,2025,Q2,2025-05-08,Deepfake Law Passed,Withdrawn,8.4,0,0,7.0,4.2,Official Gazette
Germany,2023,Q3,2023-07-15,AI in Healthcare Regulation,Enacted,1.9,0,0,3.2,3.5,Press Release
Germany,2025,Q1,2025-01-13,Algorithmic Accountability Act,Proposed,7.2,1,0,1.3,2.4,News Wire
France,2023,Q4,2023-11-10,AI Liability Bill Introduced,Enacted,8.0,0,0,0.9,9.1,News Wire
Indonesia,2024,Q1,2024-03-13,AI Ethics Board Formed,Proposed,4.6,0,0,9.1,2.9,Press Release
Turkey,2022,Q2,2022-05-28,Deepfake Law Passed,Enacted,4.9,1,0,6.4,3.1,News Wire
South Africa,2023,Q2,2023-04-13,AI Safety Agency Established,Proposed,3.1,0,0,5.2,6.4,NGO Report
France,2023,Q3,2023-09-18,AI Liability Bill Introduced,Passed,8.0,0,0,1.1,7.5,NGO Report
India,2023,Q1,2023-02-22,AI Transparency Act,Enacted,3.3,0,0,2.9,0.4,Parliamentary Record
Nigeria,2025,Q1,2025-01-19,AI Content Labelling Law,Proposed,9.4,1,0,4.8,2.0,Press Release
India,2022,Q3,2022-09-23,AI Liability Bill Introduced,Enacted,9.6,0,0,1.1,1.6,Parliamentary Record
Germany,2025,Q2,2025-06-08,Border AI Inspection Policy,Enacted,3.7,0,1,9.6,6.8,Parliamentary Record
United States,2024,Q2,2024-05-28,AI Audit Requirement,Enacted,3.4,0,0,5.2,9.8,Official Gazette
Australia,2024,Q2,2024-06-13,Public AI Consultation Launched,Enacted,8.4,0,1,8.5,2.5,News Wire
Canada,2024,Q4,2024-10-26,AI Transparency Act,Proposed,4.3,0,0,2.7,3.2,News Wire
Singapore,2022,Q2,2022-05-02,GenAI Moratorium Proposed,Passed,9.8,0,0,8.1,2.3,News Wire
Netherlands,2022,Q1,2022-03-10,Border AI Inspection Policy,Enacted,7.7,0,0,1.6,9.3,NGO Report
Japan,2024,Q4,2024-10-16,GenAI Moratorium Proposed,Enacted,9.6,0,0,2.3,1.5,News Wire
China,2023,Q2,2023-04-18,AI Ethics Board Formed,In Committee,3.2,1,0,1.0,0.8,Parliamentary Record
Saudi Arabia,2024,Q3,2024-07-24,National AI Strategy Published,Proposed,2.9,1,0,4.0,7.6,News Wire
Germany,2025,Q1,2025-03-04,National AI Strategy Published,Withdrawn,9.6,0,1,9.7,6.2,NGO Report
Sweden,2023,Q3,2023-08-07,National AI Strategy Published,Proposed,9.0,1,0,9.8,5.9,News Wire
Italy,2024,Q2,2024-05-01,AI Workforce Reskilling Program,Enacted,9.1,1,0,1.3,3.6,Parliamentary Record
United Kingdom,2022,Q3,2022-09-20,AI Regulatory Framework Enacted,Enacted,7.1,0,0,7.8,3.4,NGO Report
UAE,2023,Q4,2023-10-24,AI Safety Agency Established,Proposed,8.5,0,1,8.4,3.7,Official Gazette
Nigeria,2022,Q3,2022-07-10,AI Content Labelling Law,Passed,1.4,0,0,6.3,2.1,Official Gazette
New Zealand,2024,Q2,2024-05-22,AI Safety Agency Established,Enacted,1.9,0,0,8.8,6.8,News Wire
Turkey,2025,Q4,2025-12-04,AI Audit Requirement,In Committee,6.9,0,0,5.8,3.9,Parliamentary Record
China,2022,Q2,2022-04-14,AI Ethics Board Formed,Enacted,1.1,0,0,0.9,6.6,Parliamentary Record
South Korea,2024,Q3,2024-07-10,AI Workforce Reskilling Program,Enacted,2.4,0,1,6.3,0.6,Official Gazette
Turkey,2024,Q3,2024-07-13,AI in Healthcare Regulation,Passed,8.3,0,0,7.4,5.8,Parliamentary Record
Saudi Arabia,2024,Q1,2024-02-18,AI Safety Agency Established,Passed,7.6,0,0,0.9,1.1,Press Release
Canada,2022,Q2,2022-05-16,Deepfake Law Passed,In Committee,6.3,0,0,2.9,2.5,Press Release
South Africa,2024,Q3,2024-07-08,AI in Education Policy,Proposed,6.7,0,0,2.6,5.4,Press Release
New Zealand,2024,Q1,2024-01-01,AI Copyright Amendment,Passed,6.9,0,0,9.6,9.6,Official Gazette
Spain,2024,Q2,2024-06-03,AI in Education Policy,Under Review,4.6,0,1,8.9,5.6,Parliamentary Record
Japan,2024,Q3,2024-08-27,Algorithmic Accountability Act,Proposed,2.2,1,0,5.5,4.1,NGO Report
Germany,2022,Q1,2022-01-13,AI Workforce Reskilling Program,Passed,3.5,0,0,7.3,3.4,Official Gazette
Taiwan,2023,Q2,2023-06-27,AI Copyright Amendment,Proposed,1.3,1,1,0.9,0.5,NGO Report
